,Temperature (C),Humidity,Pressure (millibars)
0,9.47222222222222,0.89,1015.13
1,9.355555555555558,0.86,1015.63
2,9.377777777777778,0.89,1015.94
3,8.28888888888889,0.83,1016.41
4,8.755555555555553,0.83,1016.51
5,9.22222222222222,0.85,1016.66
6,7.733333333333334,0.95,1016.72
7,8.77222222222222,0.89,1016.84
8,10.82222222222222,0.82,1017.37
9,13.77222222222222,0.72,1017.22
10,16.016666666666666,0.67,1017.42
11,17.144444444444446,0.54,1017.74
12,17.800000000000004,0.55,1017.59
13,17.333333333333332,0.51,1017.48
14,18.87777777777778,0.47,1017.17
15,18.911111111111115,0.46,1016.47
16,15.38888888888889,0.6,1016.15
17,15.550000000000002,0.63,1016.17
18,14.255555555555553,0.69,1015.82
19,13.144444444444442,0.7,1015.83
20,11.55,0.77,1015.85
21,11.183333333333334,0.76,1015.77
22,10.116666666666667,0.79,1015.4
23,10.2,0.77,1015.51
24,10.42222222222222,0.62,1014.4
25,9.911111111111111,0.66,1014.2
26,11.183333333333334,0.8,1008.71
27,7.155555555555556,0.79,1014.47
28,6.111111111111111,0.82,1014.45
29,6.788888888888888,0.83,1014.49
30,7.26111111111111,0.85,1014.52
31,7.799999999999999,0.83,1014.16
32,9.872222222222224,0.78,1014.24
33,12.22222222222222,0.72,1014.25
34,15.094444444444449,0.61,1013.96
35,17.355555555555558,0.52,1013.85
36,19.00555555555555,0.46,1013.04
37,20.04444444444444,0.4,1012.22
38,21.05,0.4,1011.44
39,21.18333333333333,0.37,1010.52
40,20.11666666666666,0.4,1009.83
41,20.216666666666665,0.36,1009.26
42,20.0,0.43,1008.76
43,17.800000000000004,0.5,1008.36
44,16.06111111111111,0.53,1008.11
45,15.02222222222222,0.55,1008.15
46,14.422222222222224,0.58,1007.85
47,14.255555555555553,0.59,1007.89
48,13.77222222222222,0.6,1007.36
49,13.283333333333331,0.63,1007.26
50,8.633333333333333,0.87,1005.1
51,11.25,0.83,1007.01
52,11.183333333333334,0.89,1006.73
53,10.694444444444445,0.95,1006.59
54,11.11111111111111,0.93,1006.34
55,11.11111111111111,0.93,1006.09
56,12.166666666666666,0.82,1005.97
57,12.755555555555556,0.79,1005.63
58,13.838888888888889,0.84,1005.83
59,16.183333333333334,0.73,1005.97
60,17.516666666666666,0.67,1005.64
61,17.383333333333333,0.67,1005.2
62,17.36111111111111,0.71,1005.1
63,17.205555555555556,0.74,1004.65
64,15.633333333333333,0.81,1004.04
65,13.577777777777776,0.9,1004.08
66,10.911111111111111,0.86,1004.61
67,8.800000000000002,0.99,1004.99
68,8.961111111111112,0.93,1004.85
69,8.199999999999998,0.96,1004.96
70,7.688888888888891,0.96,1005.14
71,7.766666666666664,0.96,1005.05
72,8.199999999999998,0.96,1004.8
73,8.177777777777777,0.93,1004.89
74,7.311111111111109,0.82,1007.0
75,7.644444444444442,0.93,1004.3
76,6.622222222222224,0.93,1003.68
77,6.683333333333334,0.93,1003.86
78,6.0888888888888895,0.93,1003.57
79,6.066666666666667,0.93,1003.96
80,6.144444444444446,0.93,1004.1
81,7.133333333333336,0.8,1004.26
82,7.205555555555555,0.86,1004.18
83,7.566666666666666,0.84,1004.23
84,8.900000000000002,0.77,1004.47
85,9.961111111111112,0.71,1004.52
86,9.888888888888888,0.71,1004.29
87,11.066666666666668,0.71,1003.93
88,10.116666666666667,0.76,1004.0
89,11.038888888888888,0.66,1004.3
90,10.65,0.7,1004.0
91,10.050000000000002,0.7,1004.39
92,9.9,0.66,1005.48
93,8.794444444444444,0.71,1005.89
94,7.827777777777779,0.72,1006.37
95,7.855555555555556,0.72,1006.56
96,7.316666666666667,0.75,1007.07
97,7.244444444444444,0.75,1007.37
98,5.438888888888888,0.88,1012.23
99,7.200000000000001,0.76,1007.28
100,6.688888888888888,0.7,1007.18
101,6.211111111111111,0.73,1007.39
102,6.111111111111111,0.76,1007.67
103,6.111111111111111,0.76,1007.98
104,6.172222222222222,0.76,1008.57
105,7.222222222222222,0.71,1008.87
106,7.288888888888888,0.73,1009.44
107,7.405555555555555,0.72,1010.03
